类型,根函数名,函数名,非独占样本,独占样本,非独占样本 %,独占样本 %,
"Callee","[gdi32.dll]","[gdi32.dll]",1,1,0.06,0.06,
"Callee","[gdi32.dll]","[gdi32full.dll]",31,0,1.83,0.00,
"Callee","[gdi32.dll]","[win32u.dll]",1,1,0.06,0.06,
"Root","[gdi32full.dll]","[gdi32full.dll]",37,3,2.19,0.18,
"Caller","[gdi32full.dll]","[d3d10warp.dll]",2,0,0.12,0.00,
"Caller","[gdi32full.dll]","[d3d11.dll]",2,2,0.12,0.12,
"Caller","[gdi32full.dll]","[gdi32.dll]",31,0,1.83,0.00,
"Caller","[gdi32full.dll]","[gdi32full.dll]",1,0,0.06,0.00,
"Caller","[gdi32full.dll]","[user32.dll]",1,0,0.06,0.00,
"Caller","[gdi32full.dll]","[uxtheme.dll]",1,1,0.06,0.06,
"Callee","[gdi32full.dll]","[gdi32full.dll]",1,0,0.06,0.00,
"Callee","[gdi32full.dll]","[KernelBase.dll]",1,0,0.06,0.00,
"Callee","[gdi32full.dll]","[win32u.dll]",33,0,1.95,0.00,
"Root","[ieframe.dll]","[ieframe.dll]",25,0,1.48,0.00,
"Caller","[ieframe.dll]","[ieframe.dll]",24,0,1.42,0.00,
"Caller","[ieframe.dll]","[mshtml.dll]",1,0,0.06,0.00,
"Caller","[ieframe.dll]","[user32.dll]",18,0,1.06,0.00,
"Caller","[ieframe.dll]","[WindowsBase.ni.dll]",23,0,1.36,0.00,
"Callee","[ieframe.dll]","[ieframe.dll]",24,0,1.42,0.00,
"Callee","[ieframe.dll]","[mshtml.dll]",20,0,1.18,0.00,
"Callee","[ieframe.dll]","[ntdll.dll]",19,0,1.12,0.00,
"Callee","[ieframe.dll]","[ole32.dll]",1,0,0.06,0.00,
"Callee","[ieframe.dll]","[user32.dll]",2,0,0.12,0.00,
"Root","[iertutil.dll]","[iertutil.dll]",7,4,0.41,0.24,
"Caller","[iertutil.dll]","[iertutil.dll]",5,2,0.30,0.12,
"Caller","[iertutil.dll]","[mshtml.dll]",6,2,0.35,0.12,
"Caller","[iertutil.dll]","[urlmon.dll]",1,0,0.06,0.00,
"Callee","[iertutil.dll]","[iertutil.dll]",5,2,0.30,0.12,
"Callee","[iertutil.dll]","[KernelBase.dll]",3,0,0.18,0.00,
"Root","[imgutil.dll]","[imgutil.dll]",1,1,0.06,0.06,
"Caller","[imgutil.dll]","[imgutil.dll]",1,1,0.06,0.06,
"Caller","[imgutil.dll]","[ntdll.dll]",1,0,0.06,0.00,
"Callee","[imgutil.dll]","[imgutil.dll]",1,1,0.06,0.06,
"Root","[InputHost.dll]","[InputHost.dll]",1,0,0.06,0.00,
"Caller","[InputHost.dll]","[InputHost.dll]",1,0,0.06,0.00,
"Caller","[InputHost.dll]","[kernel32.dll]",1,0,0.06,0.00,
"Callee","[InputHost.dll]","[CoreMessaging.dll]",1,0,0.06,0.00,
"Callee","[InputHost.dll]","[InputHost.dll]",1,0,0.06,0.00,
"Root","[jscript9.dll]","[jscript9.dll]",107,58,6.33,3.43,
"Caller","[jscript9.dll]","[jscript9.dll]",104,48,6.15,2.84,
"Caller","[jscript9.dll]","[mshtml.dll]",89,4,5.26,0.24,
"Caller","[jscript9.dll]","[msvcrt.dll]",17,0,1.01,0.00,
"Caller","[jscript9.dll]","[ntdll.dll]",1,1,0.06,0.06,
"Caller","[jscript9.dll]","[未知]",41,5,2.42,0.30,
"Callee","[jscript9.dll]","[bcrypt.dll]",1,0,0.06,0.00,
"Callee","[jscript9.dll]","[combase.dll]",2,0,0.12,0.00,
"Callee","[jscript9.dll]","[jscript9.dll]",104,48,6.15,2.84,
"Callee","[jscript9.dll]","[KernelBase.dll]",11,1,0.65,0.06,
"Callee","[jscript9.dll]","[mshtml.dll]",32,2,1.89,0.12,
"Callee","[jscript9.dll]","[msvcrt.dll]",5,3,0.30,0.18,
"Callee","[jscript9.dll]","[ntdll.dll]",1,0,0.06,0.00,
"Callee","[jscript9.dll]","[未知]",42,1,2.48,0.06,
"Root","[kernel32.dll]","[kernel32.dll]",401,6,23.71,0.35,
"Caller","[kernel32.dll]","[MobileInput.dll]",1,0,0.06,0.00,
"Caller","[kernel32.dll]","[mscoree.dll]",1,0,0.06,0.00,
"Caller","[kernel32.dll]","[mscoreei.dll]",51,0,3.02,0.00,
"Caller","[kernel32.dll]","[mshtml.dll]",6,4,0.35,0.24,
"Caller","[kernel32.dll]","[ntdll.dll]",343,0,20.28,0.00,
"Caller","[kernel32.dll]","[oleaut32.dll]",1,0,0.06,0.00,
"Caller","[kernel32.dll]","[WindowsBase.ni.dll]",1,1,0.06,0.06,
"Caller","[kernel32.dll]","[wpfgfx_v0400.dll]",1,1,0.06,0.06,
"Callee","[kernel32.dll]","[clr.dll]",44,0,2.60,0.00,
"Callee","[kernel32.dll]","[InputHost.dll]",1,0,0.06,0.00,
"Callee","[kernel32.dll]","[KernelBase.dll]",5,0,0.30,0.00,
"Callee","[kernel32.dll]","[mshtml.dll]",32,0,1.89,0.00,
"Callee","[kernel32.dll]","[msvcrt.dll]",37,0,2.19,0.00,
"Callee","[kernel32.dll]","[ntdll.dll]",243,0,14.37,0.00,
"Callee","[kernel32.dll]","[SHCore.dll]",1,0,0.06,0.00,
"Callee","[kernel32.dll]","[SogouPY.ime]",1,0,0.06,0.00,
"Callee","[kernel32.dll]","[wpfgfx_v0400.dll]",35,0,2.07,0.00,
"Root","[KernelBase.dll]","[KernelBase.dll]",193,9,11.41,0.53,
"Caller","[KernelBase.dll]","[atiu9pag.dll]",1,0,0.06,0.00,
"Caller","[KernelBase.dll]","[atiumdag.dll]",1,0,0.06,0.00,
"Caller","[KernelBase.dll]","[clr.dll]",22,0,1.30,0.00,
"Caller","[KernelBase.dll]","[combase.dll]",1,0,0.06,0.00,
"Caller","[KernelBase.dll]","[d2d1.dll]",1,0,0.06,0.00,
"Caller","[KernelBase.dll]","[d3d10warp.dll]",4,1,0.24,0.06,
"Caller","[KernelBase.dll]","[d3d11.dll]",2,0,0.12,0.00,
"Caller","[KernelBase.dll]","[d3d9.dll]",1,0,0.06,0.00,
"Caller","[KernelBase.dll]","[Flash.ocx]",1,0,0.06,0.00,
"Caller","[KernelBase.dll]","[gdi32full.dll]",1,0,0.06,0.00,
"Caller","[KernelBase.dll]","[iertutil.dll]",3,0,0.18,0.00,
"Caller","[KernelBase.dll]","[jscript9.dll]",11,1,0.65,0.06,
"Caller","[KernelBase.dll]","[kernel32.dll]",5,0,0.30,0.00,
"Caller","[KernelBase.dll]","[KernelBase.dll]",86,2,5.09,0.12,
"Caller","[KernelBase.dll]","[msctf.dll]",2,0,0.12,0.00,
"Caller","[KernelBase.dll]","[mshtml.dll]",18,4,1.06,0.24,
"Caller","[KernelBase.dll]","[ntmarta.dll]",6,0,0.35,0.00,
"Caller","[KernelBase.dll]","[PicFace.dll]",82,1,4.85,0.06,
"Caller","[KernelBase.dll]","[SHCore.dll]",1,0,0.06,0.00,
"Caller","[KernelBase.dll]","[SogouPY.ime]",27,0,1.60,0.00,
"Caller","[KernelBase.dll]","[twinapi.appcore.dll]",2,0,0.12,0.00,
"Caller","[KernelBase.dll]","[urlmon.dll]",1,0,0.06,0.00,
"Caller","[KernelBase.dll]","[wpfgfx_v0400.dll]",2,0,0.12,0.00,
"Callee","[KernelBase.dll]","[KernelBase.dll]",86,2,5.09,0.12,
"Callee","[KernelBase.dll]","[ntdll.dll]",184,6,10.88,0.35,
"Callee","[KernelBase.dll]","[ntmarta.dll]",2,0,0.12,0.00,
"Root","[MobileInput.dll]","[MobileInput.dll]",1,0,0.06,0.00,
