类型,根函数名,函数名,非独占样本,独占样本,非独占样本 %,独占样本 %,
"Caller","[未知]","[d3d10warp.dll]",1,1,0.06,0.06,
"Caller","[未知]","[jscript9.dll]",42,1,2.48,0.06,
"Caller","[未知]","[mscorlib.ni.dll]",2,2,0.12,0.12,
"Caller","[未知]","[msctfui.dll]",1,0,0.06,0.00,
"Caller","[未知]","[PresentationCore.ni.dll]",3,3,0.18,0.18,
"Caller","[未知]","[SogouPY.ime]",2,0,0.12,0.00,
"Caller","[未知]","[user32.dll]",220,4,13.01,0.24,
"Caller","[未知]","[win32u.dll]",1,0,0.06,0.00,
"Caller","[未知]","[WindowsBase.ni.dll]",39,7,2.31,0.41,
"Caller","[未知]","[wow64cpu.dll]",27,0,1.60,0.00,
"Caller","[未知]","[wow64win.dll]",190,0,11.24,0.00,
"Caller","[未知]","[未知]",295,62,17.45,3.67,
"Callee","[未知]","[jscript9.dll]",41,5,2.42,0.30,
"Callee","[未知]","[ntdll.dll]",228,4,13.48,0.24,
"Callee","[未知]","[PicFace.dll]",7,0,0.41,0.00,
"Callee","[未知]","[PresentationCore.ni.dll]",6,0,0.35,0.00,
"Callee","[未知]","[PresentationFramework.ni.dll]",25,0,1.48,0.00,
"Callee","[未知]","[WindowsBase.ni.dll]",204,1,12.06,0.06,
"Callee","[未知]","[wow64.dll]",1,0,0.06,0.00,
"Callee","[未知]","[wow64win.dll]",1,1,0.06,0.06,
"Callee","[未知]","[未知]",295,62,17.45,3.67,
"Root","极简浏览器.App+Program.Main","极简浏览器.App+Program.Main",967,0,57.19,0.00,
"Caller","极简浏览器.App+Program.Main","[clr.dll]",967,0,57.19,0.00,
"Callee","极简浏览器.App+Program.Main","[PresentationFramework.ni.dll]",967,0,57.19,0.00,
