函数名,独占样本,独占样本 %,指令地址,源行开始,源字符开始,源行结束,源字符结束,
"[ntdll.dll]",1,0.06,0x779D5151,0,0,0,0,
"[ntmarta.dll]",1,0.06,0x73383C94,0,0,0,0,
"[oleaut32.dll]",1,0.06,0x74DC0DB2,0,0,0,0,
"[PenIMC2_v0400.dll]",1,0.06,0x698184FB,0,0,0,0,
"[PicFace.dll]",1,0.06,0x673C65F9,0,0,0,0,
"[PicFace.dll]",1,0.06,0x6746D453,0,0,0,0,
"[PicFace.dll]",1,0.06,0x6746D5C8,0,0,0,0,
"[PicFace.dll]",1,0.06,0x6746E168,0,0,0,0,
"[PresentationCore.ni.dll]",1,0.06,0x623780D1,0,0,0,0,
"[PresentationCore.ni.dll]",1,0.06,0x6237C251,0,0,0,0,
"[PresentationCore.ni.dll]",1,0.06,0x6237C260,0,0,0,0,
"[PresentationCore.ni.dll]",1,0.06,0x6237E901,0,0,0,0,
"[PresentationCore.ni.dll]",1,0.06,0x62397881,0,0,0,0,
"[PresentationCore.ni.dll]",1,0.06,0x6239792C,0,0,0,0,
"[PresentationCore.ni.dll]",1,0.06,0x6239799B,0,0,0,0,
"[PresentationCore.ni.dll]",1,0.06,0x623979C3,0,0,0,0,
"[PresentationCore.ni.dll]",1,0.06,0x62397B18,0,0,0,0,
"[rpcrt4.dll]",1,0.06,0x772C4964,0,0,0,0,
"[SGMouseInput.dll]",1,0.06,0x6C7C8D40,0,0,0,0,
"[shlwapi.dll]",1,0.06,0x76D22F62,0,0,0,0,
"[SogouPY.ime]",1,0.06,0x10084A94,0,0,0,0,
"[System.ni.dll]",1,0.06,0x65750013,0,0,0,0,
"[System.ni.dll]",1,0.06,0x657531CC,0,0,0,0,
"[ucrtbase.dll]",1,0.06,0x75AD2734,0,0,0,0,
"[ucrtbase.dll]",1,0.06,0x75AFD5B5,0,0,0,0,
"[ucrtbase.dll]",1,0.06,0x75AFD850,0,0,0,0,
"[ucrtbase.dll]",1,0.06,0x75AFF915,0,0,0,0,
"[urlmon.dll]",1,0.06,0x7237523C,0,0,0,0,
"[user32.dll]",1,0.06,0x755B1ABF,0,0,0,0,
"[user32.dll]",1,0.06,0x755BFB20,0,0,0,0,
"[user32.dll]",1,0.06,0x755C32BD,0,0,0,0,
"[user32.dll]",1,0.06,0x755C33A2,0,0,0,0,
"[user32.dll]",1,0.06,0x755C38C7,0,0,0,0,
"[uxtheme.dll]",1,0.06,0x733E383F,0,0,0,0,
"[uxtheme.dll]",1,0.06,0x733E3A4F,0,0,0,0,
"[uxtheme.dll]",1,0.06,0x733E3A65,0,0,0,0,
"[uxtheme.dll]",1,0.06,0x733E3AFE,0,0,0,0,
"[uxtheme.dll]",1,0.06,0x733EA700,0,0,0,0,
"[vcruntime140_clr0400.dll]",1,0.06,0x6C77D180,0,0,0,0,
"[vcruntime140_clr0400.dll]",1,0.06,0x6C77DC84,0,0,0,0,
"[vcruntime140_clr0400.dll]",1,0.06,0x6C77DD18,0,0,0,0,
"[vcruntime140_clr0400.dll]",1,0.06,0x6C77DD50,0,0,0,0,
"[win32u.dll]",1,0.06,0x74ED2C50,0,0,0,0,
"[win32u.dll]",1,0.06,0x74ED2CA0,0,0,0,0,
"[win32u.dll]",1,0.06,0x74ED2CD5,0,0,0,0,
"[win32u.dll]",1,0.06,0x74ED2ED0,0,0,0,0,
"[win32u.dll]",1,0.06,0x74ED6F50,0,0,0,0,
"[wininet.dll]",1,0.06,0x705DCA44,0,0,0,0,
"[wow64cpu.dll]",1,0.06,0x77966000,0,0,0,0,
"[wow64win.dll]",1,0.06,0x7FFED30B183F,0,0,0,0,
"[wow64win.dll]",1,0.06,0x7FFED30B3390,0,0,0,0,
"[wow64win.dll]",1,0.06,0x7FFED30B4830,0,0,0,0,
"[wow64win.dll]",1,0.06,0x7FFED30B6C91,0,0,0,0,
"[wow64win.dll]",1,0.06,0x7FFED30B7EDD,0,0,0,0,
"[wow64win.dll]",1,0.06,0x7FFED30BA517,0,0,0,0,
"[wow64win.dll]",1,0.06,0x7FFED30BCA41,0,0,0,0,
"[wow64win.dll]",1,0.06,0x7FFED30BE78E,0,0,0,0,
"[wpfgfx_v0400.dll]",1,0.06,0x60265E71,0,0,0,0,
